#generated=2026-09-14
line;headsign;seq;diva
1;Bösendorferstraße/Karlsplatz;0;60200486
1;Bösendorferstraße/Karlsplatz;1;60201497
1;Bösendorferstraße/Karlsplatz;2;60201071
1;Bösendorferstraße/Karlsplatz;3;60200513
1;Bösendorferstraße/Karlsplatz;4;60201063
1;Bösendorferstraße/Karlsplatz;5;60200527
1;Bösendorferstraße/Karlsplatz;6;60200619
1;Bösendorferstraße/Karlsplatz;7;60201198
1;Bösendorferstraße/Karlsplatz;8;60201145
1;Bösendorferstraße/Karlsplatz;9;60201182
1;Bösendorferstraße/Karlsplatz;10;60200195
1;Bösendorferstraße/Karlsplatz;11;60201184
1;Bösendorferstraße/Karlsplatz;12;60200192
1;Bösendorferstraße/Karlsplatz;13;60200994
1;Bösendorferstraße/Karlsplatz;14;60200246
1;Bösendorferstraße/Karlsplatz;15;60200190
1;Bösendorferstraße/Karlsplatz;16;60200975
1;Bösendorferstraße/Karlsplatz;17;60200196
1;Laxenburger Straße/Gudrunstraße;0;60200486
1;Laxenburger Straße/Gudrunstraße;1;60201497
1;Laxenburger Straße/Gudrunstraße;2;60201071
1;Laxenburger Straße/Gudrunstraße;3;60200513
1;Laxenburger Straße/Gudrunstraße;4;60201063
1;Laxenburger Straße/Gudrunstraße;5;60200527
1;Laxenburger Straße/Gudrunstraße;6;60200845
1;Laxenburger Straße/Gudrunstraße;7;60200743
1;Laxenburger Straße/Gudrunstraße;8;60201218
1;Laxenburger Straße/Gudrunstraße;9;60200929
1;Laxenburger Straße/Gudrunstraße;10;60201091
1;Laxenburger Straße/Gudrunstraße;11;60200736
1;Laxenburger Straße/Gudrunstraße;12;60200300
1;Laxenburger Straße/Gudrunstraße;13;60201346
1;Laxenburger Straße/Gudrunstraße;14;60201349
1;Laxenburger Straße/Gudrunstraße;15;60200211
1;Laxenburger Straße/Gudrunstraße;16;60200136
1;Leebgasse/Siccardsburggasse;0;60201312
1;Leebgasse/Siccardsburggasse;1;60201494
1;Leebgasse/Siccardsburggasse;2;60201392
1;Leebgasse/Siccardsburggasse;3;60200225
1;Leebgasse/Siccardsburggasse;4;60201060
1;Leebgasse/Siccardsburggasse;5;60201598
1;Leebgasse/Siccardsburggasse;6;60200914
1;Leebgasse/Siccardsburggasse;7;60202500
1;Marsanogasse;0;60200486
1;Marsanogasse;1;60201497
1;Marsanogasse;2;60201071
1;Marsanogasse;3;60200513
1;Marsanogasse;4;60201063
1;Marsanogasse;5;60200527
1;Marsanogasse;6;60200619
1;Marsanogasse;7;60201198
1;Marsanogasse;8;60201145
1;Marsanogasse;9;60201182
1;Marsanogasse;10;60200195
1;Marsanogasse;11;60201169
1;Marsanogasse;12;60200112
1;Marsanogasse;13;60200371
1;Marsanogasse;14;60200345
1;Marsanogasse;15;60200034
